,location_name,location_region,res_date,res_type,res_address,res_price,res_price_sqr,res_sqr,construction_year,levels,bedrooms,bathrooms,deleted,deleted_at,status,energyclass,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,parking,parking_flag,days_up
16004,Αχαρνές,Αττική,2020-03-03,Μονοκατοικία,"Κηφισιά,Κεφαλάρι",2400000,1600.0,1500.0,2010.0,'Αλλο,4.0,4.0,0,,Νεόδμητο,Γ,1,0,0,1,0,1,0,0,,0,
16005,Αχαρνές,Αττική,2022-03-24,Διαμέρισμα,"Κηφισιά,Νέα Κηφισιά",130000,1494.0,87.0,1970.0,1ος,2.0,1.0,1,2022-03-26,Χρήζει ανακαίνισης,Ζ,1,0,0,0,0,0,0,0,,0,2 days
16006,Γλυφάδα,Αττική,2022-03-20,Μεζονέτα,"Γλυφάδα,Κέντρο",1650000,9821.0,168.0,2021.0,'Αλλο,5.0,4.0,1,2022-03-21,Υπο κατασκευή,Α+,1,1,1,1,1,1,0,0,,0,1 days
16008,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2021-10-21,Μεζονέτα,"Γλυφάδα,Αιξωνή",650000,4333.0,150.0,1987.0,Ισόγειο,3.0,2.0,1,2022-03-23,Ανακαινισμένο,Γ,1,1,1,0,0,1,0,0,,0,153 days
16010,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-04-20,Διαμέρισμα,"Βούλα,Άνω Βούλα",990000,4500.0,220.0,2007.0,3ος,3.0,2.0,1,2022-04-22,Νεόδμητο,Α,0,1,1,1,0,1,0,0,,0,2 days
16011,Κηφισιά,Αττική,2020-12-30,Μονοκατοικία,Εθνικιστών και Αναπήρων Πολέμου,890000,2730.0,326.0,2000.0,Ισόγειο,4.0,3.0,0,,Άριστη,Γ,1,0,1,1,0,1,0,0,,0,
16012,Αθήνα,Αττική,2022-06-01,Διαμέρισμα,"Αθήνα,Πλατεία Αττικής",120000,1237.0,97.0,1965.0,5ος,2.0,1.0,1,2022-06-05,Χρήζει ανακαίνισης,Η,0,0,0,0,0,0,0,0,,0,4 days
16013,Αχαρνές,Αττική,2022-04-14,Διαμέρισμα,"Αχαρνές,Γεροβουνό",60000,1765.0,34.0,2003.0,Ισόγειο,1.0,1.0,1,2022-04-22,Καλή,Γ,1,0,0,1,0,0,0,0,,0,8 days
16014,Χαλάνδρι,Αττική,2022-03-27,Μεζονέτα,"Χαλάνδρι,Πάτημα",350000,1750.0,200.0,2000.0,Ισόγειο,4.0,1.0,1,2022-03-28,Ανακαινισμένο,Δ,1,1,0,1,0,1,0,0,,0,1 days
16015,Γλυφάδα,Αττική,2022-05-06,Διαμέρισμα,"Γλυφάδα,Άνω Γλυφάδα",225000,2228.0,101.0,1977.0,Ισόγειο,3.0,1.0,1,2022-06-07,Ανακαινισμένο,Εκρεμμεί,0,1,1,0,0,0,0,0,,0,32 days
16016,Αχαρνές,Αττική,2022-04-14,Διαμέρισμα,"Μεταμόρφωση,Καναπίτσα",110000,1375.0,80.0,1980.0,1ος,2.0,1.0,1,2022-04-29,Καλή,Η,1,1,1,0,0,0,0,0,,0,15 days
16017,Παλαιό Φάληρο,Αττική,2022-03-14,Διαμέρισμα,"Παλαιό Φάληρο,Φλοίσβος",85000,1667.0,51.0,1970.0,Ισόγειο,1.0,1.0,1,2022-04-05,Ανακαινισμένο,Η,1,0,0,0,1,0,0,0,,0,22 days
16018,Ίλιον,Αττική,2021-11-26,Διαμέρισμα,Κέντρο,250000,2451.0,102.0,2021.0,1ος,3.0,2.0,1,2022-03-24,Υπο κατασκευή,Α+,1,0,0,1,0,1,0,0,Ανοιχτό parking,1,118 days
16019,Αχαρνές,Αττική,2021-06-08,Διαμέρισμα,"Αχαρνές,Χαραυγή",123000,1447.0,85.0,,5ος,1.0,1.0,1,2022-06-10,Άριστη,Δ,1,1,0,1,0,0,0,0,,0,367 days
